cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
19,s,sediment,n,cvcc,e,coronal,stop,cc,sets,sess,no,0,33,33,14,space,2.13629794121,,,2016_Jun_21_1140,None,icelandic,jr06,
46,l̥,reticent,agg,cvlc,ʏ,coronal,lateral,cc,dult,tʏl̥t,yes,0,34,34,29,space,3.60379600525,,,2016_Jun_21_1140,None,icelandic,jr06,
46,l̥,reticent,agg,cvlc,ʏ,coronal,lateral,cc,dult,tʏl̥t,yes,0,34,34,29,space,2.31983804703,,,2016_Jun_21_1140,None,icelandic,jr06,
46,l̥,reticent,agg,cvlc,ʏ,coronal,lateral,cc,dult,tʏl̥t,yes,0,34,34,29,space,1.76946902275,,,2016_Jun_21_1140,None,icelandic,jr06,
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,35,35,45,space,3.2186050415,,,2016_Jun_21_1140,None,icelandic,jr06,
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,35,35,45,space,1.93630480766,,,2016_Jun_21_1140,None,icelandic,jr06,
49,r̥,energy,n,vrcv,o,coronal,rhotic,ccv,orka,or̥ka,yes,0,35,35,45,space,1.75347900391,,,2016_Jun_21_1140,None,icelandic,jr06,
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,36,36,39,space,3.2534558773,,,2016_Jun_21_1140,None,icelandic,jr06,
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,36,36,39,space,2.35369300842,,,2016_Jun_21_1140,None,icelandic,jr06,
38,m,comb,v,cvncv,e,labial,nasal,ccv,kemba,kʰempa,no,0,36,36,39,space,2.35321807861,,,2016_Jun_21_1140,None,icelandic,jr06,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θittɪ,no,0,37,37,30,space,3.16855287552,,,2016_Jun_21_1140,None,icelandic,jr06,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θittɪ,no,0,37,37,30,space,1.91966485977,,,2016_Jun_21_1140,None,icelandic,jr06,
10,tt,thaw,v,cvccv,i,coronal,stop,ccv,þíddi,θittɪ,no,0,37,37,30,space,2.71989321709,,,2016_Jun_21_1140,None,icelandic,jr06,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,38,38,35,space,3.637155056,,,2016_Jun_21_1140,None,icelandic,jr06,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,38,38,35,space,1.80375790596,,,2016_Jun_21_1140,None,icelandic,jr06,
28,tt,pike,n,cvccv,e,coronal,stop,ccv,gedda,ketta,no,0,38,38,35,space,2.43636679649,,,2016_Jun_21_1140,None,icelandic,jr06,
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,39,39,43,space,3.43673110008,,,2016_Jun_21_1140,None,icelandic,jr06,
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,39,39,43,space,1.78615283966,,,2016_Jun_21_1140,None,icelandic,jr06,
42,n,do st carefully,v,cvncv,a,coronal,nasal,ccv,vanda,vanta,no,0,39,39,43,space,1.58604192734,,,2016_Jun_21_1140,None,icelandic,jr06,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,40,40,37,space,3.93788290024,,,2016_Jun_21_1140,None,icelandic,jr06,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,40,40,37,space,2.23483300209,,,2016_Jun_21_1140,None,icelandic,jr06,
36,m,comb,n,cvncv,a,labial,nasal,ccv,kamba,kʰampa,no,0,40,40,37,space,1.93629693985,,,2016_Jun_21_1140,None,icelandic,jr06,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,41,41,49,space,3.25358295441,,,2016_Jun_21_1140,None,icelandic,jr06,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,41,41,49,space,1.86953210831,,,2016_Jun_21_1140,None,icelandic,jr06,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,41,41,49,space,1.90395307541,,,2016_Jun_21_1140,None,icelandic,jr06,
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kaplɪ,no,0,42,42,53,space,3.5881729126,,,2016_Jun_21_1140,None,icelandic,jr06,
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kaplɪ,no,0,42,42,53,space,2.58673286438,,,2016_Jun_21_1140,None,icelandic,jr06,
57,p,part,n,cvccv,a,labial,stop,ccv,kafli,kaplɪ,no,0,42,42,53,space,1.80292201042,,,2016_Jun_21_1140,None,icelandic,jr06,
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,43,43,1,space,3.15395283699,,,2016_Jun_21_1140,None,icelandic,jr06,
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,43,43,1,space,1.96972990036,,,2016_Jun_21_1140,None,icelandic,jr06,
2,kk,beak,n,cvcc,o,velar,stop,cc,gogg,kokk,no,0,43,43,1,space,1.83634591103,,,2016_Jun_21_1140,None,icelandic,jr06,
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,44,44,12,space,3.68717694283,,,2016_Jun_21_1140,None,icelandic,jr06,
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,44,44,12,space,2.18633985519,,,2016_Jun_21_1140,None,icelandic,jr06,
15,ʰt,point,n,vvcc,ou,coronal,stop,cc,ótt,ouʰt,yes,0,44,44,12,space,1.81953191757,,,2016_Jun_21_1140,None,icelandic,jr06,
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,45,45,38,space,2.55397295952,,,2016_Jun_21_1140,None,icelandic,jr06,
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,45,45,38,space,1.80174612999,,,2016_Jun_21_1140,None,icelandic,jr06,
