cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant,
50,r,scream,n,vrcv,o,coronal,rhotic,ccv,orga,orka,no,0,15,15,46,space,1.93686890602,,,2016_Jun_21_1140,None,icelandic,jr06,
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,16,16,5,space,3.50446891785,,,2016_Jun_21_1140,None,icelandic,jr06,
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,16,16,5,space,1.46942901611,,,2016_Jun_21_1140,None,icelandic,jr06,
6,pp,block of wood,n,cvcc,ʏ,labial,stop,cc,kubb,kʰʏpp,no,0,16,16,5,space,2.05307006836,,,2016_Jun_21_1140,None,icelandic,jr06,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,17,17,13,space,2.43657183647,,,2016_Jun_21_1140,None,icelandic,jr06,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,17,17,13,space,1.90132308006,,,2016_Jun_21_1140,None,icelandic,jr06,
16,tt,fast,adv,vcc,o,coronal,stop,cc,odd,ott,no,0,17,17,13,space,2.01952910423,,,2016_Jun_21_1140,None,icelandic,jr06,
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,18,18,44,space,3.58715796471,,,2016_Jun_21_1140,None,icelandic,jr06,
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,18,18,44,space,2.06961297989,,,2016_Jun_21_1140,None,icelandic,jr06,
48,l,castrate,v,cvlcv,e,coronal,lateral,ccv,gelda,kelta,no,0,18,18,44,space,2.13650894165,,,2016_Jun_21_1140,None,icelandic,jr06,
12,tt,feed,v,cvccv,ai,coronal,stop,ccv,fæddi,faittɪ,no,0,19,19,31,space,4.00410413742,,,2016_Jun_21_1140,None,icelandic,jr06,
12,tt,feed,v,cvccv,ai,coronal,stop,ccv,fæddi,faittɪ,no,0,19,19,31,space,2.18630695343,,,2016_Jun_21_1140,None,icelandic,jr06,
