"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
57,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,18,18,6,"space",1.9530420303,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
58,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,19,19,44,"space",2.2697710991,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
59,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,19,19,44,"space",2.0529661179,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
60,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,19,19,44,"space",2.4530549049,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
61,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,20,20,42,"space",3.0375699997,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
62,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,20,20,42,"space",2.5366389751,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
63,39,"n̥","decoration","n","cvncv","ʏ","coronal","nasal","ccv","punta","pʰʏn̥ta","yes",0,20,20,42,"space",2.0866777897,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
64,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,21,21,3,"space",2.6033229828,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
65,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,21,21,3,"space",2.3197569847,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
66,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,21,21,3,"space",2.3530571461,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
67,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,22,22,5,"space",2.5349769592,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
68,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,22,22,5,"space",2.5198128223,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
69,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,22,22,5,"space",2.8703820705,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
70,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,23,23,8,"space",2.5699629784,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
71,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,23,23,8,"space",2.3863480091,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
72,9,"ʰt","thaw","v","cvcc","i","coronal","stop","cc","þítt","θiʰt","yes",0,23,23,8,"space",2.4865109921,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
73,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,24,24,37,"space",2.5530650616,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
74,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,24,24,37,"space",2.0195760727,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
75,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,24,24,37,"space",2.1197779179,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
76,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,25,25,40,"space",2.0530591011,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
77,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,25,25,40,"space",2.236371994,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
78,37,"m̥","hero","n","cvncv","e","labial","nasal","ccv","kempa","kʰem̥pa","yes",0,25,25,40,"space",2.2697691917,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
79,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,26,26,10,"space",2.386300087,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
80,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,26,26,10,"space",2.0697219372,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
81,13,"ʰt","push","v","vcc","i","coronal","stop","cc","ýtt","iʰt","yes",0,26,26,10,"space",2.1372818947,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
82,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,27,27,2,"space",2.436604023,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
83,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,27,27,2,"space",2.0028009415,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
84,3,"ʰk","dark","agg","cvcc","œ","velar","stop","cc","dökk","tœʰk","yes",0,27,27,2,"space",2.1036040783,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
85,5,"ʰp","chamber pot","n","cvcc","o","labial","stop","cc","kopp","kʰoʰp","yes",0,28,28,4,"space",3.5371310711,,,"2016_May_31_1427",59.9736329605,"icelandic","brs02"
