cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant
33,m̥,comb,v,cvcc,e,labial,nasal,cc,kembt,kem̥t,yes,0,17,17,26,space,2.4697539806,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,18,18,7,space,2.5865340233,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,18,18,7,space,2.6705079079,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
8,tt,width,n,cvcc,i,coronal,stop,cc,vídd,vitt,no,0,18,18,7,space,2.0862770081,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,19,19,34,space,2.436453104,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,19,19,34,space,2.2377200127,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
25,ʰk,key,n,cvccv,a,velar,stop,ccv,takka,tʰaʰka,yes,0,19,19,34,space,2.2695531845,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
18,ʰt,sweet,adj,cvvcc,ai,coronal,stop,cc,sætt,saiʰt,yes,0,20,20,15,space,2.4033229351,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
18,ʰt,sweet,adj,cvvcc,ai,coronal,stop,cc,sætt,saiʰt,yes,0,20,20,15,space,2.5370280743,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
18,ʰt,sweet,adj,cvvcc,ai,coronal,stop,cc,sætt,saiʰt,yes,0,20,20,15,space,2.0685229302,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,21,21,42,space,2.3697650433,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,21,21,42,space,2.1202328205,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
39,n̥,decoration,n,cvncv,ʏ,coronal,nasal,ccv,punta,pʰʏn̥ta,yes,0,21,21,42,space,2.3172841072,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
12,tt,feed,v,cvccv,ai,coronal,stop,ccv,fæddi,faitti,no,0,22,22,33,space,2.4366080761,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
12,tt,feed,v,cvccv,ai,coronal,stop,ccv,fæddi,faitti,no,0,22,22,33,space,2.317991972,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
12,tt,feed,v,cvccv,ai,coronal,stop,ccv,fæddi,faitti,no,0,22,22,33,space,2.2858119011,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,23,23,23,space,2.0192229748,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,23,23,23,space,2.2699849606,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
30,m,comb,n,cvnc,a,labial,nasal,cc,kamb,kʰamp,no,0,23,23,23,space,2.5531799793,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
