cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,key_resp_7.keys,key_resp_7.rt,date,frameRate,expName,participant
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.637775898,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.8368220329,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
37,m̥,hero,n,cvncv,e,labial,nasal,ccv,kempa,kʰem̥pa,yes,0,57,57,40,space,2.6866250038,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.9705920219,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.3530330658,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
34,m,comb,v,cvccv,e,labial,nasal,cc,kembdi,kemtɪ,no,0,58,58,27,space,2.8701848984,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.6706058979,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.586758852,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,59,59,36,space,2.4523499012,,,2016_May_27_1122,59.9674592168,icelandic,tt01_1
,,,,,,,,,,,,,,,,,,space,15.0755860806,2016_May_27_1122,59.9674592168,icelandic,tt01_1
