"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
34,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,11,11,47,"space",4.9217200279,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
35,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,11,11,47,"space",4.8709139824,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
36,49,"r̥","energy","n","vrcv","o","coronal","rhotic","ccv","orka","or̥ka","yes",0,11,11,47,"space",3.8706870079,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
37,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,12,12,43,"space",5.5714569092,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
38,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,12,12,43,"space",3.9205701351,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
39,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,12,12,43,"space",4.3372709751,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
40,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,22,"space",4.9044361115,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
41,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,22,"space",2.9534459114,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
42,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,22,"space",4.3206989765,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
43,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,14,14,51,"space",4.7542099953,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
44,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,14,14,51,"space",4.1857259274,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
45,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,14,14,51,"space",5.2378470898,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
46,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,15,15,36,"space",3.8872900009,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
47,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,15,15,36,"space",3.0204429627,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
48,27,"ʰt","fall","v","cvccv","e","coronal","stop","ccv","detta","teʰta","yes",0,15,15,36,"space",4.004709959,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
49,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,16,16,41,"space",5.7048199177,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
50,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,16,16,41,"space",2.9708719254,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
51,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,16,16,41,"space",6.2551929951,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
52,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,17,17,28,"space",4.1711678505,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
53,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,17,17,28,"space",3.8204391003,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
54,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,17,17,28,"space",4.1206250191,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
55,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,18,18,33,"space",4.6882719994,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
56,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,18,18,33,"space",3.7855918407,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
57,12,"tt","feed","v","cvccv","ai","coronal","stop","ccv","fæddi","faitti","no",0,18,18,33,"space",4.1709799767,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
58,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,19,19,18,"space",6.1039159298,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
59,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,19,19,18,"space",3.887294054,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
60,21,"s","fat","adj","cvvcc","ei","coronal","stop","cc","feits","feiss","no",0,19,19,18,"space",2.6533448696,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
61,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,20,20,46,"space",4.3707149029,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
62,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,20,20,46,"space",3.1033411026,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
63,48,"l","castrate","v","cvlcv","e","coronal","lateral","ccv","gelda","kelta","no",0,20,20,46,"space",5.3378732204,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
64,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,21,21,6,"space",3.9545090199,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
65,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,21,21,6,"space",4.0375840664,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
66,7,"ʰt","far and wide","adv","cvcc","i","coronal","stop","cc","vítt","viʰt","yes",0,21,21,6,"space",4.8544130325,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
67,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,22,22,7,"space",5.4878370762,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
68,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,22,22,7,"space",3.8871369362,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
69,8,"tt","width","n","cvcc","i","coronal","stop","cc","vídd","vitt","no",0,22,22,7,"space",3.3534560204,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
70,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,23,23,44,"space",5.5864019394,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
71,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,23,23,44,"space",4.9545090199,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
72,41,"n̥","want","v","cvccv","a","coronal","nasal","ccv","vanta","van̥ta","yes",0,23,23,44,"space",3.8871750832,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
73,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,24,24,53,"space",4.7712180615,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
74,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,24,24,53,"space",3.2868762016,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
75,55,"p","navel","n","cvccv","a","labial","stop","ccv","nafla","napla","no",0,24,24,53,"space",3.8372051716,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
76,51,"l̥","milk","v","ccvvccv","ou","coronal","lateral","ccv","mjólka","mjoul̥ka","yes",0,25,25,49,"space",4.2373831272,,,"2016_May_31_1458",59.7782351164,"icelandic","bte03"
