"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
34,60,"ʰp","tiptoe","v","cvccv","ɪ","labial","stop","ccv","tipla","tɪʰpla","yes",0,11,11,58,"space",2.3530771732,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
35,60,"ʰp","tiptoe","v","cvccv","ɪ","labial","stop","ccv","tipla","tɪʰpla","yes",0,11,11,58,"space",1.6361041069,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
36,60,"ʰp","tiptoe","v","cvccv","ɪ","labial","stop","ccv","tipla","tɪʰpla","yes",0,11,11,58,"space",1.6362009049,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
37,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,12,12,28,"space",2.219753027,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
38,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,12,12,28,"space",1.7195849419,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
39,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,12,12,28,"space",1.8194699287,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
40,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,13,13,12,"space",4.1872880459,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
41,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,13,13,12,"space",2.1196200848,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
42,15,"ʰt","point","n","vvcc","ou","coronal","stop","cc","ótt","ouʰt","yes",0,13,13,12,"space",1.9534721375,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
43,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,14,14,3,"space",2.2196860313,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
44,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,14,14,3,"space",1.653719902,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
45,4,"kk","dew","n","cvcc","œ","velar","stop","cc","dögg","tœkk","no",0,14,14,3,"space",1.4527308941,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
46,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,15,15,11,"space",2.0528569222,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
47,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,15,15,11,"space",1.2359378338,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
48,14,"tt","sharpen","v","vcc","ɪ","coronal","stop","cc","ydd","ɪtt","no",0,15,15,11,"space",1.402572155,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
49,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,16,16,43,"space",4.5697469711,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
50,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,16,16,43,"space",1.3357830048,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
51,40,"n","pound","n","cvncv","ʏ","coronal","nasal","ccv","punda","pʰʏnta","no",0,16,16,43,"space",1.1509239674,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
52,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,17,17,15,"space",3.4202649593,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
53,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,17,17,15,"space",2.2864429951,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
54,18,"ʰt","sweet","adj","cvvcc","ai","coronal","stop","cc","sætt","saiʰt","yes",0,17,17,15,"space",2.5205619335,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
55,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,18,18,20,"space",2.8542170525,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
56,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,18,18,20,"space",1.9870090485,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
57,23,"s","wet","adj","cvvcc","o","coronal","stop","cc","vots","voss","no",0,18,18,20,"space",1.7527959347,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
58,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,19,19,57,"space",2.9198589325,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
59,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,19,19,57,"space",1.6025459766,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
60,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,19,19,57,"space",1.4531700611,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
61,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,20,20,24,"space",2.1363389492,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
62,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,20,20,24,"space",1.5025579929,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
63,31,"n̥","decoration","n","cvnc","ʏ","coronal","nasal","cc","punt","pʰʏn̥t","yes",0,20,20,24,"space",1.202737093,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
64,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,21,21,1,"space",2.585018158,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
65,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,21,21,1,"space",1.3859848976,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
66,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,21,21,1,"space",1.5205180645,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
67,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,22,22,51,"space",2.3697881699,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
68,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,22,22,51,"space",0.9188940525,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
69,53,"p","avenge","v","cvccv","e","labial","stop","ccv","hefna","hepna","no",0,22,22,51,"space",1.4026589394,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
70,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,23,23,37,"space",2.3530759811,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
71,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,23,23,37,"space",0.7856509686,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
72,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,23,23,37,"space",0.8689990044,,,"2016_May_31_1526",59.9078451593,"icelandic","jj04"
