"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
39,59,"p","play chess","v","cvccv","e","labial","stop","ccv","tefla","tepla","no",0,12,12,55,"space",2.2697899342,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
40,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,20,"space",2.353094101,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
41,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,20,"space",2.2348639965,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
42,29,"m̥","moustache","n","cvnc","a","labial","nasal","cc","kamp","kʰam̥p","yes",0,13,13,20,"space",2.4864637852,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
43,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,14,14,5,"space",2.3197181225,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
44,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,14,14,5,"space",2.8699448109,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
45,6,"pp","block of wood","n","cvcc","ʏ","labial","stop","cc","kubb","kʰʏpp","no",0,14,14,5,"space",2.0535759926,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
46,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,15,15,35,"space",2.2528100014,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
47,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,15,15,35,"space",2.2362561226,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
48,28,"tt","pike","n","cvccv","e","coronal","stop","ccv","gedda","ketta","no",0,15,15,35,"space",2.4538919926,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
49,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,16,16,26,"space",2.5185329914,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
50,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,16,16,26,"space",2.4031529427,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
51,43,"t","smart","adj","cvcc","i","coronal","stop","cc","fínn","fitn̥","yes",0,16,16,26,"space",2.286534071,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
52,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,17,17,57,"space",2.8045458794,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
53,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,17,17,57,"space",2.1366178989,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
54,47,"l̥","bark","v","cvlcv","e","coronal","lateral","ccv","gelta","kel̥ta","yes",0,17,17,57,"space",2.0529458523,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
55,33,"m̥","comb","v","cvcc","e","labial","nasal","cc","kembt","kem̥t","yes",0,18,18,24,"space",2.97108078,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
56,33,"m̥","comb","v","cvcc","e","labial","nasal","cc","kembt","kem̥t","yes",0,18,18,24,"space",1.9368958473,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
57,33,"m̥","comb","v","cvcc","e","labial","nasal","cc","kembt","kem̥t","yes",0,18,18,24,"space",2.003180027,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
58,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,19,19,15,"space",2.4031229019,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
59,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,19,19,15,"space",2.1530520916,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
60,20,"ʰt","put","v","cvcc","e","coronal","stop","cc","sett","seʰt","yes",0,19,19,15,"space",2.0372819901,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
61,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,20,20,17,"space",2.3029508591,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
62,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,20,20,17,"space",1.8695220947,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
63,22,"ʰt","fat","adj","cvvcc","ei","coronal","stop","cc","feitt","feiʰt","yes",0,20,20,17,"space",2.0872859955,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
64,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,21,21,50,"space",2.3367850781,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
65,54,"ʰp","arm","v","cvccv","o","labial","stop","ccv","vopna","voʰpna","yes",0,21,21,50,"space",2.469933033,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
