"idx","cond_no","cons","eng","pos","syl","vow","place","manner","context","lex","ph","asp","trials.thisRepN","trials.thisTrialN","trials.thisN","trials.thisIndex","key_resp_4.keys","key_resp_4.rt","key_resp_7.keys","key_resp_7.rt","date","frameRate","expName","participant"
140,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,46,46,27,"space",2.1014671326,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
141,44,"nn","cheek","n","cvcc","i","coronal","nasal","cc","kinn","kʰɪnn","no",0,46,46,27,"space",1.8199291229,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
142,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,47,47,1,"space",2.0030190945,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
143,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,47,47,1,"space",1.9862370491,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
144,2,"kk","beak","n","cvcc","o","velar","stop","cc","gogg","kokk","no",0,47,47,1,"space",1.8352508545,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
145,26,"kk","barrel","n","cvccv","a","velar","stop","ccv","kagga","kʰakka","no",0,48,48,33,"space",1.969656229,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
146,26,"kk","barrel","n","cvccv","a","velar","stop","ccv","kagga","kʰakka","no",0,48,48,33,"space",1.78612113,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
147,26,"kk","barrel","n","cvccv","a","velar","stop","ccv","kagga","kʰakka","no",0,48,48,33,"space",1.5694730282,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
148,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,49,49,52,"space",1.9531610012,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
149,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,49,49,52,"space",1.8513231278,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
150,56,"ʰp","munch","v","cvccv","a","labial","stop","ccv","japla","jaʰpla","yes",0,49,49,52,"space",1.90290308,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
151,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,50,50,39,"space",2.0029499531,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
152,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,50,50,39,"space",2.0012209415,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
153,38,"m","comb","v","cvncv","e","labial","nasal","ccv","kemba","kʰempa","no",0,50,50,39,"space",1.6704058647,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
154,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,51,51,19,"space",1.8695890904,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
155,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,51,51,19,"space",1.7034630776,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
156,24,"ʰt","wet","adj","cvvcc","o","coronal","stop","cc","vott","voʰt","yes",0,51,51,19,"space",1.8862860203,,,"2016_Jun_13_1116",59.9836680057,"icelandic","shg05"
