cond_no,cons,eng,pos,syl,vow,place,manner,context,lex,ph,asp,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_4.keys,key_resp_4.rt,date,frameRate,expName,participant,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,2.05297112465,2016_May_27_1115,59.8913352344,icelandic,tt01,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,1.96966600418,2016_May_27_1115,59.8913352344,icelandic,tt01,
53,p,avenge,v,cvccv,e,labial,stop,ccv,hefna,hepna,no,0,14,14,51,space,2.1363260746,2016_May_27_1115,59.8913352344,icelandic,tt01,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,15,15,25,space,2.40377497673,2016_May_27_1115,59.8913352344,icelandic,tt01,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,15,15,25,space,2.11942720413,2016_May_27_1115,59.8913352344,icelandic,tt01,
32,n,pound,n,cvnc,ʏ,coronal,nasal,cc,pund,pʰʏnt,no,0,15,15,25,space,2.23630404472,2016_May_27_1115,59.8913352344,icelandic,tt01,
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,16,16,36,space,2.65347385406,2016_May_27_1115,59.8913352344,icelandic,tt01,
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,16,16,36,space,2.13692808151,2016_May_27_1115,59.8913352344,icelandic,tt01,
27,ʰt,fall,v,cvccv,e,coronal,stop,ccv,detta,teʰta,yes,0,16,16,36,space,2.31871509552,2016_May_27_1115,59.8913352344,icelandic,tt01,
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,17,17,38,space,2.30417299271,2016_May_27_1115,59.8913352344,icelandic,tt01,
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,17,17,38,space,1.98654913902,2016_May_27_1115,59.8913352344,icelandic,tt01,
35,m̥,moustache,n,cvncv,a,labial,nasal,ccv,kampa,kʰam̥pa,yes,0,17,17,38,space,2.20325493813,2016_May_27_1115,59.8913352344,icelandic,tt01,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,18,18,35,space,2.22069692612,2016_May_27_1115,59.8913352344,icelandic,tt01,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,18,18,35,space,1.95326590538,2016_May_27_1115,59.8913352344,icelandic,tt01,
26,kk,barrel,n,cvccv,a,velar,stop,ccv,kagga,kʰakka,no,0,18,18,35,space,1.98696398735,2016_May_27_1115,59.8913352344,icelandic,tt01,
