speaker,idx,word,beg_word,end_word,dur_word,beg_voic,end_voic,dur_voic,beg_mann,end_mann,dur_mann,rels,dur_vowel,dur_cc,dur_clos,vor,voffr,mor
brs02,1,kamba,24.372258665370914,24.90501808659972,'duration_word',24.520725783271057,24.743382464096754,222.6566808256969,24.595187720657886,24.743382464096754,148.19474343886796,24.785433106575965,74.46193738682894,x,42.050642479210865,264.70732330490773,42.050642479210865,190.24538591807882
brs02,2,kamba,30.127835978835982,30.610482445851908,'duration_word',30.263870336013195,30.428646792050156,164.7764560369609,30.326788353272345,30.428646792050156,101.85843877781053,30.50076083064805,62.91801725915036,x,72.11403859789556,236.89049463485645,72.11403859789556,173.9724773757061
brs02,3,kamba,33.58023971493359,34.07454848606109,'duration_word',33.71778769841269,33.87384353741496,156.0558390022706,33.77370345175107,33.87384353741496,100.1400856638952,33.94843434343434,55.915753338375396,x,74.59080601937984,230.64664502165044,74.59080601937984,174.73089168327505
brs02,4,detta,37.82023242630385,38.33893784786642,'duration_word',37.919455132747544,37.9659571809259,46.502048178354016,37.958127772848265,38.11326152683295,155.13375398468554,38.214445804988664,38.67264010072091,x,101.18427815571351,294.99067224111997,248.48862406276595,256.31803214039905
brs02,5,detta,41.18795985060691,41.67325850340136,'duration_word',41.29168715302213,41.34963265306122,57.94550003908938,41.33810143849207,41.46768329554044,129.58185704837177,41.55637868480726,46.41428546993609,x,88.69538926681741,264.6915317851253,206.7460317460359,218.2772463151892
brs02,6,detta,44.40450636664922,44.824202461937155,'duration_word',44.50538247590703,44.56087614356087,55.49366765384178,44.54494092373791,44.66087713873428,115.93621499636697,44.71491005291005,39.5584478308848,x,54.03291417577094,209.5275770030227,154.03390934918093,169.9691291721379
brs02,7,vopna,47.87899092970522,48.38062763200518,'duration_word',47.93401248186962,48.03047335600907,96.4608741394457,47.99349788564074,48.148294331065756,154.79644542501347,48.1925866537091,59.485403771120104,x,44.292322643343596,258.5741718394772,162.11329770003147,199.08876806835707
brs02,8,vopna,50.5044828469022,50.9601952632905,'duration_word',50.54401954432567,50.616084592028905,72.06504770323363,50.60056244438704,50.72530990173848,124.74745735143955,50.76477000323939,56.5429000613662,x,39.46010150091439,220.75045891372014,148.6854112104865,164.20755885235394
brs02,9,vopna,53.829580498866214,54.31535430839002,'duration_word',53.87759734928454,53.964116066179564,86.51871689502144,53.93206553287982,54.0699019027901,137.83636991028203,54.13100529100529,54.46818359527583,x,61.10338821518724,253.4079417207451,166.88922482572366,198.93975812546927
brs02,10,dult,57.087759125155436,57.50798833819242,'duration_word',57.21222426675588,57.335421965887804,123.19769913192147,57.276118591766604,57.43004036281179,153.92177104518368,57.48374806062776,63.894325010721786,x,53.70769781597318,271.52379387187864,148.32609473995717,207.62946886115685
brs02,11,dult,59.91400750043607,60.29231009070295,'duration_word',60.01914176157354,60.10560815583064,86.46639425709424,60.077472789115646,60.204216553287985,126.74376417233901,60.280580120937266,58.33102754210273,x,76.3635676492811,261.43835936372284,174.9719651066286,203.1073318216201
brs02,12,dult,62.69686612916772,63.045427161855734,'duration_word',62.79502969441745,62.893390495086926,98.36080066947517,62.857680272108844,62.95485050810448,97.1702359956339,63.04057052154195,62.65057769139304,x,85.7200134374736,245.54082712450054,147.18002645502537,182.8902494331075
brs02,13,sett,66.12085110880511,66.53115436297976,'duration_word',66.24387616528092,66.31790223065973,74.02606537880274,66.30373233560091,66.44999622071052,146.26388510960453,66.51912913583925,59.85617031998913,x,69.13291512873343,275.2529705583271,201.22690517952435,215.39680023833796
brs02,14,sett,69.08103958455811,69.43804043839759,'duration_word',69.20241523593566,69.27520667314546,72.7914372098013,69.25102834467121,69.3590343915344,108.00604686318138,69.43185995032934,48.61310873555169,x,72.82555879494623,229.4447143936793,156.653277183878,180.83160565812761
brs02,15,sett,72.1368025466597,72.49059250860839,'duration_word',72.26202598988314,72.32409449677307,62.068506889929154,72.3162050119193,72.42200566893425,105.800657014953,72.48602814459117,54.17902203615199,x,64.02247565692676,224.00215470803175,161.9336478181026,169.82313267187976
