,"file_name","word","beg_word","end_word","dur_word","beg_voic","end_voic","dur_voic","beg_mann","end_mann","dur_mann","rels","dur_v_to_m","dur_clos","abs_voic","abs_clos","norm_voic","norm_mann","norm_v_to_m","norm_clos","norm_abs_voic","norm_abs_clos","v_to_rel"
"mann","file_name$","lab_word$","begin_word","end_word","duration_word","begin_voic","end_voic","duration_voic","begin_mann","end_mann","duration_mann","time_rels","duration_v_to_m","duration_closure","duration_v_to_m","duration_abs_closure","norm_duration_voice","norm_duration_mann","norm_duration_v_to_m","norm_duration_closure","norm_duration_v_to_m","norm_abs_clos","v_to_rel"
"no rel","file_name$","lab_word$","begin_word","end_word","duration_word","begin_voic","end_voic","duration_voic","begin_mann","end_mann","duration_mann",,"duration_v_to_m",,"duration_v_to_m",,"norm_duration_voice","norm_duration_mann","norm_duration_v_to_m",,"norm_duration_v_to_m",,
"no mann","file_name$","lab_word$","begin_word","end_word","duration_word","begin_voic","end_voic","duration_voic",,,,"time_rels",,"duration_closure","duration_voic","duration_closure","norm_duration_voice",,,"norm_duration_closure","norm_duration_voice","norm_duration_closure","v_to_rel"
"no rel","file_name$","lab_word$","begin_word","end_word","duration_word","begin_voic","end_voic","duration_voic",,,,,,,"duration_voic",,"norm_duration_voice",,,,"norm_duration_voice",,
